Type,Theme,File,Name,Color,Legend,Labels,Unit,Visible,Status,Provenance,Description,Notes
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection SWB 2071-2100.tif,BEC projection: Spruce -- Willow -- Birch,"#ffffff, #a4fe8c",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/5naoodpo0zg0utd/BEC%20Zone%20Projection%20SWB%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection MH 2071-2100.tif,BEC projection: Mountain Hemlock,"#ffffff, #9b96f9",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/3t2rxq33zbmzgl0/BEC%20Zone%20Projection%20MH%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection CDF 2071-2100.tif,BEC projection: Coastal Douglas-fir,"#ffffff, #effd21",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/o8ub9oa3izglgu9/BEC%20Zone%20Projection%20CDF%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection SBPS 2071-2100.tif,BEC projection: Sub-Boreal Pine -- Spruce,"#ffffff, #84ffdb",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/la3h4gcapkexcoc/BEC%20Zone%20Projection%20SBPS%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection CMA 2071-2100.tif,BEC projection: Coastal Mountain-heather Alpine,"#ffffff, #edc1db",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/3up5qtj011cdbkx/BEC%20Zone%20Projection%20CMA%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection ESSF 2071-2100.tif,BEC projection: Engelmann Spruce -- Subalpine Fir,"#ffffff, #4d22ff",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/0gg18op4sja39y5/BEC%20Zone%20Projection%20ESSF%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection BAFA 2071-2100.tif,BEC projection: Boreal Altai Fescue Alpine,"#ffffff, #ebe1a5",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/3n1k0mflvpf9gne/BEC%20Zone%20Projection%20BAFA%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection ICH 2071-2100.tif,BEC projection: Interior Cedar -- Hemlock,"#ffffff, #77c503",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/ktw6clopcwfx6b0/BEC%20Zone%20Projection%20ICH%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection BWBS 2071-2100.tif,BEC projection: Boreal White and Black Spruce,"#ffffff, #b9fff1",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/nns113k01uh494p/BEC%20Zone%20Projection%20BWBS%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
theme,Future climate space,yale_4/BEC projections/BEC Zone Projection IDF 2071-2100.tif,BEC projection: Interior Douglas-fir,"#ffffff, #ffd726",continuous,,km2*,FALSE,FALSE,missing,"<p><img src='https://dl.dropboxusercontent.com/s/98k4t6jnn0v5yp9/BEC%20Zone%20Projection%20IDF%202071-2100.png?dl=0'/></p><p>Biogeoclimatic zones projection based on consensus predictions with the best-model agreement among 20 selected climate change scenarios. Projection 2071-2100</p><p><em>Reference:</em></p><p>Wang, T., Campbell, E.M., O’Neill, G.A., Aitken, S.N., 2012. Projecting future distributions of ecosystem climate niches: Uncertainties and management applications. Forest Ecology and Management 279, 128–140. https://doi.org/10.1016/j.foreco.2012.05.034. Wang T, Hamann A, Spittlehouse D, Carroll C (2016) Locally Downscaled and Spatially Customizable Climate Data for Historical and Future Periods for North America. PLoS ONE 11(6): e0156720. https://doi.org/10.1371/journal.pone.0156720</p>",
